state,Area (sq. km),Population,id
Rajasthan,342239,68548437,8
Madhya Pradesh,308245,72626809,23
Maharashtra,307713,112372333,27
Uttar Pradesh,240928,199812341,9
Gujarat,196024,60439692,24
Karnataka,191791,61095297,29
Andhra Pradesh,162968,84580777,28
Odisha,155707,41974218,21
Chhattisgarh,135191,25351462,22
TamilNadu,130058,72147030,33
Telangana,112077,35198978,0
Bihar,94163,104099452,10
West Bengal,88752,91276115,19
Arunachal Pradesh,83743,1458545,12
Jharkhand,79714,32988134,20
Assam,78438,31205576,18
Himachal Pradesh,55673,6864602,2
Uttarakhand,53483,10086292,5
Punjab,50362,27743338,3
Haryana,44212,25545198,6
Kerala,38963,33406061,32
Meghalaya,22429,2966889,17
Manipur,22327,2855794,14
Mizoram,21081,1097206,15
Nagaland,16579,1978502,13
Tripura,10486,3673917,16
Sikkim,7096,610577,11
Goa,3702,1458502,30
Jammu & Kashmir,125535,12267013,1
Ladakh,96701,274289,100
Andaman and Nicobar Islands,8249,380581,35
Delhi,1484,16787941,7
Dadra and Nagar Haveli & Daman and Diu,603,343709,26
Puducherry,479,1247953,34
Chandigarh,114,1055450,4
Lakshadweep,32.62,64473,31
